  Simulation n.    Distance terminal
---------------  -------------------
              0              3808.86
              1              3711.05
              2              3720.5
              3              3826.34
              4              3877.52
              5              3675.95
              6              3917.59
              7              3682.99
              8              3862.7
              9              3983.21
             10              3727.4
             11              3666.81
             12              3726.83
             13              3837.58
             14              3740.2
             15              3831.4
             16              3838.86
             17              3977.19
             18              3782.52
             19              3834.08
             20              3822.67
             21              3756.44
             22              3879.61
             23              3979.88
             24              3651.88
             25              3892
             26              3862.72
             27              3865.7
             28              3635.9
             29              3768.45
  Mean minimum path    Sample variance  95pc confidence interval
-------------------  -----------------  ------------------------------------------------------------
            3804.83            9555.61  (3804.8274289058204, 3768.3259273481112, 3841.3289304635296)
  Simulation n.    Distance terminal
---------------  -------------------
              0              3720.1
              1              3630.94
              2              3743.03
              3              3792.39
              4              3705
              5              3620.89
              6              3736.19
              7              3622.59
              8              3810.43
              9              3624.54
             10              3643.77
             11              3661.5
             12              3733.56
             13              3635.25
             14              3744.74
             15              3783.24
             16              3792.61
             17              3681.43
             18              3546.3
             19              3703.7
             20              3659.73
             21              3696.15
             22              3631.69
             23              3607.65
             24              3615.34
             25              3711.44
             26              3559.78
             27              3599.49
             28              3568.61
             29              3791.73
  Mean minimum path    Sample variance  95pc confidence interval
-------------------  -----------------  ----------------------------------------------------------
            3679.13            5620.36  (3679.126334190869, 3651.1324186130328, 3707.120249768705)
  Simulation n.    Distance terminal
---------------  -------------------
              0              3580.52
              1              3757.52
              2              3676.89
              3              3559.26
              4              3600.16
              5              3615.06
              6              3625.91
              7              3502.19
              8              3831.36
              9              3556.67
             10              3852.01
             11              3732.44
             12              3709.07
             13              3650.58
             14              3665.41
             15              3687.02
             16              3662.93
             17              3639.12
             18              3737.58
             19              3836.56
             20              3535.41
             21              3676.83
             22              3765.13
             23              3481.87
             24              3651.67
             25              3678.18
             26              3749.65
             27              3558.72
             28              3753.18
             29              3664.57
  Mean minimum path    Sample variance  95pc confidence interval
-------------------  -----------------  -----------------------------------------------------------
            3666.45            9162.66  (3666.4490642627984, 3630.705962729395, 3702.1921657962016)
  Simulation n.    Distance terminal
---------------  -------------------
              0              3651.45
              1              3640.25
              2              3628.04
              3              3682.62
              4              3725.21
              5              3768.81
              6              3671.61
              7              3713.2
              8              3641.37
              9              3565.91
             10              3595.48
             11              3761.91
             12              3920.9
             13              3676.96
             14              3591.19
             15              3683.7
             16              3606.08
             17              3678.92
             18              3667.29
             19              3524.47
             20              3615.8
             21              3699.16
             22              3624.51
             23              3623.71
             24              3589.09
             25              3605.23
             26              3621.9
             27              3607.5
             28              3747.28
             29              3534.44
  Mean minimum path    Sample variance  95pc confidence interval
-------------------  -----------------  ----------------------------------------------------------
            3655.47            6248.59  (3655.4671237661055, 3625.950114812172, 3684.984132720039)
  Simulation n.    Distance terminal
---------------  -------------------
              0              21240.3
              1              20126.6
              2              20901.2
              3              19501.3
              4              19862.7
              5              20073.3
              6              20029.5
              7              19905.5
              8              20296.7
              9              20178.1
             10              20300
             11              19988.6
             12              22788.6
             13              20573.8
             14              22047.9
             15              20841.9
             16              20570.4
             17              19494.8
             18              22111.6
             19              21791.3
             20              21313.7
             21              21812.1
             22              18957.4
             23              21618.4
             24              23123.9
             25              21602.4
             26              21670.2
             27              19915.7
             28              20955.2
             29              21719.1
  Mean minimum path    Sample variance  95pc confidence interval
-------------------  -----------------  ---------------------------------------------------------
            20843.7        1.05053e+06  (20843.744779491735, 20461.0208450246, 21226.46871395887)

Process finished with exit code 0

